"백년지대계";"die Jahrhunderaufgabe";;"gesellschaft";"redewendung";"zeit"
"잠시";"der Moment / die Weile";;"zeit"
"가을";"der Herbst";;"zeit"
"지각하다";"zu spät sein";;"zeit"
"오랫동안";"während einer langen Zeit";;"zeit"
"그동안";"während dessen";;"grammatik";"zeit"
"언제든지";"jederzeit";;"grammatik";"zeit"
"덜 걸리다";"weniger (Zeit) brauchen";;"menge";"zeit"
"... 때";"als ... / zur Zeit von ... / während ...";"z.B. 
초등학교 때 친구들을 만나요. (Ich treffe Freunde aus der Grundschulzeit)";"grammatik";"zeit"
"시간 걸리다";"Zeit brauchen";;"zeit"
"이따가";"später";;"zeit"
"나중에";"später / danach";;"adverb";"zeit"
"겨울";"der Winter";;"zeit"
"주일";"die Woche";;"zeit"
"다음 주";"nächste Woche";;"zeit"
"지난 주";"letzte Woche";;"zeit"
"일요일";"Sonntag";;"zeit"
"토요일";"Samstag";;"zeit"
"금요일";"Freitag";;"zeit"
"수요일";"der Mittwoch";;"zeit"
"월요일";"Montag";;"zeit"
"매일";"jeden Tag";;"zeit"
"날마다";"jeden Tag";;"grammatik";"zeit"
"잠깐";"der Moment / Augenblick";;"zeit"
"요즘";"zur Zeit";;"zeit"
"주말";"das Wochenende";;"zeit"
"빨리";"schnell";;"zeit"
"어제";"gestern";;"zeit"
"달";"der Monat";;"zeit"
"오전";"der Vormittag";;"zeit"
"오후";"der Nachmittag";;"zeit"
"정오";"der Mittag";;"zeit"
"자정";"Mitternacht";;"zeit"
"아침";"der Morgen";;"zeit"
"시간";"die Zeit";;"zeit"
"내일";"morgen";;"zeit"
