"국가";"die Nation / das Land";;"land"
"국토";"das Territorium";;"land"
"해외";"Übersee / Ausland";;"land";"reisen"
"국민";"die Nation";;"gesellschaft";"land";"politk"
"현지인";"der Ureinwohner";;"land";"reisen";"sozial"
"국경";"die Grenze";;"geographie";"land";"politk"
"서양";"der Occident / Westen";;"geographie";"land"
"동양";"der Orient";;"geographie";"land"
"교포";"im Ausland geborener Koreaner";;"land";"sozial"
"호주";"Australien";;"land"
"일본";"Japan";;"land"
