"소음";"der Lärm";;"ausgehen";"gesundheit";"stadt"
"행진";"der Marsch / die Parade";"Militärparade, Hochzeitszug, Trauerzug etc.";"ausgehen";"sozial"
"탐방";"die Erkundung";"z.B. 맛집 탐방 = Erkundung neuer Restaurants";"ausgehen";"sozial"
"참가를 신청하다";"zur Teilnahme anmelden";;"ausgehen";"kultur";"schule"
"꽃을 달아 드리다";"Blumen überreichen";;"ausgehen"
"기념행사";"die Feierlichkeiten";"Veranstaltung zur Feier eines Gedenk- oder Jahrestages";"ausgehen";"leben"
"화장품";"die Kosmetik";;"ausgehen"
"화장";"das Make-Up";;"ausgehen"
"줄을 서다";"Schlange stehen";;"ausgehen"
"외박하다";"woanders übernachten";"Nicht zu Hause schlafen (z.b. in der Ehe oder im Militär)";"ausgehen";"liebe"
"맞이하다";"(Gäste) empfangen / feiern";"z.B. 손님을 맞이하다
생일을 맞이하다";"ausgehen";"sozial"
"무대";"die Bühne";;"ausgehen";"kultur"
"부담하다";"übernehmen / aufkommen";;"ausgehen";"geld"
"1 회";"die erste Spielzeit / Runde";"🍕 unLov reporKov (melon persikon)
❤️ (malum) persicum, -i peach [pi:f]
🍆 pêche* [pef]
🥨 pesca* ['peska] (pl. pesche)
🥐 hawb（ah）
🫛 aparseq
🥬 seftali";"ausgehen";"sport"
"한 줄 서다";"in einer Reihe anstehen";;"ausgehen";"bewegung"
"번화하다";"geschäftig / belebt sein";;"ausgehen";"stadt"
"대하다";"begegnen";;"ausgehen";"sozial"
"볼꽃놀이";"das Feuerwerk";;"ausgehen"
"축의금";"das Geldgeschenk";;"ausgehen";"geld"
"청첩장";"die Einladung";"Auch Einladungskarte";"ausgehen"
"떠들다";"laut reden";;"ausgehen";"sozial"
"외출하다";"hinaus gehen";;"ausgehen"
"깜짝 파티";"die Überraschungsparty";;"ausgehen";"sozial"
"기념하다";"feiern";"In Erinnerung an etwas oder zur Feier eines Ereignisses";"ausgehen"
"무도회";"der Ball / Tanz";;"ausgehen"
"선물하다";"Geschenk machen";;"ausgehen"
"잔치";"die Feier";"Etwas altmodisch";"ausgehen"
"개업";"die Eröffnung";;"ausgehen";"einkaufen";"kultur"
"놀이 기구";"die Fahrt (Achterbahn)";;"ausgehen"
"동물원";"der Zoo";;"ausgehen"
"놀이공원";"der Vergnügungspark";;"ausgehen"
"잔치를 하다";"feiern";;"ausgehen"
"춤을 추다";"tanzen";;"ausgehen"
"집들이";"die Wohnungseinweihung";;"ausgehen"
"찻집";"das Teehaus";;"ausgehen"
